country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
namibia,4.767269816,3.553769064,0.813148928,1.858675097,2.047459954,8.165612258,7.189342732,-1.579539256,1.729879433,3.8990143,3.191324246,4.220100319,3.291585478,3.369278559,3.49218333,1.177948872,4.788661155,4.239794359,12.26954808,2.529262501,7.073175382,6.615994674,2.647369812,0.29615132,6.040337386,5.119978692,5.153926774,5.124750827
nigeria,-8.75417698,-10.75170014,7.542522026,6.467191144,12.76600917,-0.617850588,0.433725357,2.090377801,0.909763335,-0.307468969,4.993705537,2.802256439,2.715640179,0.474237575,5.318093381,4.411065196,3.784648183,10.35418456,33.73577503,3.444666813,8.210964859,6.828398348,6.270263697,6.934416004,7.839739477,4.887386611,4.279277314,5.394416311
cameroon,6.77166308,-2.146650212,-7.823631975,-1.819120513,-6.105697646,-3.808599372,-3.100003211,-7.932066575,2.063402475,4.128370945,4.911939543,5.314158464,4.895359526,4.062278838,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701,5.561688129
benin,2.171141602,-1.500002949,3.40524529,-2.854160493,8.976134361,4.225799419,2.957710824,5.836172091,2.020400445,6.045198645,4.324284035,5.734688374,3.961012139,5.341449373,4.861667564,6.248410547,4.421114343,3.882508345,3.119857104,2.865236818,3.752154478,4.626396471,5.014638407,2.663222588,2.611487073,3.26371861,5.395889626,5.640149161
togo,1.586504304,0.510162182,6.642369769,4.060021692,-0.243656143,-0.699967491,-3.980686814,-15.09582748,14.98241434,7.84583232,8.83621163,14.37737757,-2.299876558,2.481751423,-0.783479607,-1.626806272,-0.922151018,4.954397657,2.119065323,1.180406953,4.052412549,2.290453889,2.225480228,3.510296675,3.99567877,4.883763946,5.91249112,5.117622456
mauritania,5.713579281,1.900384194,1.720397973,4.777585425,-1.771304552,1.788087165,1.87412585,5.873637269,-3.060732097,9.819800448,5.818826607,-4.044696627,2.77780492,6.670370531,1.85032875,2.892354824,1.096991488,5.594191198,5.178605116,5.444862187,11.4446581,1.02298478,3.51700383,-1.220190897,4.332133139,3.986374899,6.970908449,6.715005029
burkina faso,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241892,6.613399558,4.353004323,7.802439895,4.478474349,8.661861605,6.253158606,4.111381646,5.800005065,2.866699541,8.446221244,6.626915077,8.995216194,6.647165888
lesotho,5.503874508,0.001434714,8.556676965,5.47663699,5.644185268,3.904703464,7.255418076,3.330596412,5.345593245,1.997569724,5.213676363,4.085488249,1.743989365,0.402031682,5.140339514,4.22920334,0.532376117,4.691154436,2.291777907,2.704500225,4.307444107,4.733465098,5.733473897,3.357932789,7.09126399,2.836935329,6.511439037,5.489400292
mauritius,9.742033384,8.891039823,6.79134671,4.465148645,7.186736733,4.435446247,6.512698638,5.082062928,4.136142904,4.28773662,5.587843879,5.687477457,6.070628106,2.610779536,9.026614062,2.573570313,2.113313277,3.656856417,5.745767493,1.241387547,3.947653044,5.9,5.500000009,2.999999977,4.100000009,3.899999989,3.200000016,3.200000008
"congo, rep.",-6.861526437,0.189376641,1.766263429,2.599876517,1.000003567,2.395367454,2.611948052,-0.979683206,-5.493075745,3.985324378,4.290481556,-0.62481215,3.73755277,-2.582199357,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249
